Textbox129,Textbox141,Textbox35,qq7,Textbox38,Textbox128,all val mo_label,all val mo_Chart8_CategoryGroup_label,all val mo_Chart8_CategoryGroup_Chart8_CategoryGroup1_label,all val mo_Chart8_CategoryGroup_Chart8_CategoryGroup1_Value_Y,stat_year7,gen_qty_mo16,gen_qty_mo17,gen_qty_yr7
,Fresh or chilled ,Market year*,Quarter 3,Jul,Q3,,,,,2021,"1,870","6,119","20,324"
,Fresh or chilled ,Market year*,Quarter 3,Aug,Q3,,,,,2021,"1,530","6,119","20,324"
,Fresh or chilled ,Market year*,Quarter 3,Sep,Q3,,,,,2021,"2,719","6,119","20,324"
,Fresh or chilled ,Market year*,Quarter 4,Oct,Q4,,,,,2021,"2,896","5,771","20,324"
,Fresh or chilled ,Market year*,Quarter 4,Nov,Q4,,,,,2021,"1,531","5,771","20,324"
,Fresh or chilled ,Market year*,Quarter 4,Dec,Q4,,,,,2021,"1,344","5,771","20,324"
,Fresh or chilled ,Market year*,Quarter 1,Jan,Q1,,,,,2020,"1,619","4,828","23,307"
,Fresh or chilled ,Market year*,Quarter 1,Feb,Q1,,,,,2020,"1,747","4,828","23,307"
,Fresh or chilled ,Market year*,Quarter 1,Mar,Q1,,,,,2020,"1,462","4,828","23,307"
,Fresh or chilled ,Market year*,Quarter 2,Apr,Q2,,,,,2020,"1,664","5,862","23,307"
,Fresh or chilled ,Market year*,Quarter 2,May,Q2,,,,,2020,"1,687","5,862","23,307"
,Fresh or chilled ,Market year*,Quarter 2,Jun,Q2,,,,,2020,"2,512","5,862","23,307"
,Fresh or chilled ,Market year*,Quarter 3,Jul,Q3,,,,,2020,"1,870","6,197","23,307"
,Fresh or chilled ,Market year*,Quarter 3,Aug,Q3,,,,,2020,"1,360","6,197","23,307"
,Fresh or chilled ,Market year*,Quarter 3,Sep,Q3,,,,,2020,"2,966","6,197","23,307"
,Fresh or chilled ,Market year*,Quarter 4,Oct,Q4,,,,,2020,"3,391","6,421","23,307"
,Fresh or chilled ,Market year*,Quarter 4,Nov,Q4,,,,,2020,"1,615","6,421","23,307"
,Fresh or chilled ,Market year*,Quarter 4,Dec,Q4,,,,,2020,"1,415","6,421","23,307"
,Fresh or chilled ,Market year*,Quarter 1,Jan,Q1,,,,,2019,"1,550","4,692","24,500"
,Fresh or chilled ,Market year*,Quarter 1,Feb,Q1,,,,,2019,"1,481","4,692","24,500"
,Fresh or chilled ,Market year*,Quarter 1,Mar,Q1,,,,,2019,"1,661","4,692","24,500"
,Fresh or chilled ,Market year*,Quarter 2,Apr,Q2,,,,,2019,"1,729","6,948","24,500"
,Fresh or chilled ,Market year*,Quarter 2,May,Q2,,,,,2019,"2,824","6,948","24,500"
,Fresh or chilled ,Market year*,Quarter 2,Jun,Q2,,,,,2019,"2,394","6,948","24,500"
,Fresh or chilled ,Market year*,Quarter 3,Jul,Q3,,,,,2019,"2,038","5,779","24,500"
,Fresh or chilled ,Market year*,Quarter 3,Aug,Q3,,,,,2019,"1,174","5,779","24,500"
,Fresh or chilled ,Market year*,Quarter 3,Sep,Q3,,,,,2019,"2,567","5,779","24,500"
,Fresh or chilled ,Market year*,Quarter 4,Oct,Q4,,,,,2019,"2,538","7,081","24,500"
,Fresh or chilled ,Market year*,Quarter 4,Nov,Q4,,,,,2019,"2,278","7,081","24,500"
,Fresh or chilled ,Market year*,Quarter 4,Dec,Q4,,,,,2019,"2,265","7,081","24,500"

Textbox118,Textbox130,Textbox20,qq2,Textbox22,Textbox123,all qty mo_label,all qty mo_Chart3_CategoryGroup1_label,all qty mo_Chart3_CategoryGroup1_Chart3_CategoryGroup_label,all qty mo_Chart3_CategoryGroup1_Chart3_CategoryGroup_Value_Y,stat_year2,gen_qty_mo6,gen_qty_mo7,gen_qty_yr2
,,,,,,all qty mo,2019,,3300.37077122792,,,,
,,,,,,all qty mo,2019,,3753.76684576947,,,,
,,,,,,all qty mo,2019,,3895.4182584685,,,,
,,,,,,all qty mo,2019,,3908.34837014564,,,,
,,,,,,all qty mo,2019,,7668.16249576685,,,,
,,,,,,all qty mo,2019,,4795.87652675904,,,,
,,,,,,all qty mo,2019,,4381.84398913059,,,,
,,,,,,all qty mo,2019,,2484.15995180871,,,,
,,,,,,all qty mo,2019,,4895.66215586916,,,,
,,,,,,all qty mo,2019,,4957.74873814566,,,,
,,,,,,all qty mo,2019,,5820.27867884991,,,,
